keep_image,remove_image,distance
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0268.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3270.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0270.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4019.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0274.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3255.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0290.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4856.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0296.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3741.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0311.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2953.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0330.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4015.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0406.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2415.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0448.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2542.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0450.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1770.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0467.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0935.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0491.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3479.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0494.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1450.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0523.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3098.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0535.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4245.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0537.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3446.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0572.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4574.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0578.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0990.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0583.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3878.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0647.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4415.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0667.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1421.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0686.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2349.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0712.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1779.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0722.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3834.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0731.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2856.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0751.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3886.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0765.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4621.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0795.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4596.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0810.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3624.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0811.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3291.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0818.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1267.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0822.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1337.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0842.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2752.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0865.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1987.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0888.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1102.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0981.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2254.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1003.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2164.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1004.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2904.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1017.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2610.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1040.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2068.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1122.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4974.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1124.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2345.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1134.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4414.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1157.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3012.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1174.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1964.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1193.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3628.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1242.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1281.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1255.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1995.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1270.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1623.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1335.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3642.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1403.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1939.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1426.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4284.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1427.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2583.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1433.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1983.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1463.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2801.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1466.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2500.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1499.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2558.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1529.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2166.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1626.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2117.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1639.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3517.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1647.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3714.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1697.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2210.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1706.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2857.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1708.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4617.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1819.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4058.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1851.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4187.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1855.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2653.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1858.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4449.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1861.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2139.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1870.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2609.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1908.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4844.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1936.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4442.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1957.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2150.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1976.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2413.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2016.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2568.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2017.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3051.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2023.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3669.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2093.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3662.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2106.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2276.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2202.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4121.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2252.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3763.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2268.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2665.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2293.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4090.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2311.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4026.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2322.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4240.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2333.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4537.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2339.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3687.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2400.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4968.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2410.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3113.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2432.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3677.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2456.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2507.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2464.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3385.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2508.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4607.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2515.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3756.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2550.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4069.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2578.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4337.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2607.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3597.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2649.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4950.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2669.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4818.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2739.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4030.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2757.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2977.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2831.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4411.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2833.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2932.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2884.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2993.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2945.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4702.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3050.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4626.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3322.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3438.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3346.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4112.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3352.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4748.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3430.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3648.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3454.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3786.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3503.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4248.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3610.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3977.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3710.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4279.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3758.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4110.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3816.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4749.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3838.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3921.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3839.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3902.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3895.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4809.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4018.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4576.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4089.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4567.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4125.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4217.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4318.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4678.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4402.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4862.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4407.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4976.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4579.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4932.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4824.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4960.png,0
